STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,NAME_y,GEO_ID,white_popu,non-hispan,black_popu,asian_popu,hispanic_p,total_popu,median_hou,per_capita,built_age,less_highs,bachelor,totaleduca,male_und18,female_und,male65_66,male67_69,male70_74,male75_79,male80_84,male85_,fema_65_66,fema_67_69,fema70_74,fema75_79,fema80_84,fema85_,state,county,tract
42,101,021300,42101021300,213,Census Tract 213,G5020,S,538876,0,+40.0322339,-075.2181175,"Census Tract 213, Philadelphia County, Pennsylvania",1400000US42101021300,3345,3183,349,56,271,3928,67017,35926,1583,175,680,2887,250,399,34,90,35,16,24,40,33,24,52,17,23,41,42,101,021300
42,101,030000,42101030000,300,Census Tract 300,G5020,S,910853,0,+40.0186719,-075.0780880,"Census Tract 300, Philadelphia County, Pennsylvania",1400000US42101030000,1323,645,4243,197,1408,6748,28968,15657,3149,874,169,3965,1225,960,0,42,35,24,49,35,75,151,154,8,66,59,42,101,030000
42,101,013300,42101013300,133,Census Tract 133,G5020,S,357932,0,+39.9666126,-075.1629455,"Census Tract 133, Philadelphia County, Pennsylvania",1400000US42101013300,1742,1617,1128,283,347,3459,71146,44278,1822,270,691,2397,335,218,16,16,27,7,19,0,11,16,0,0,0,0,42,101,013300
42,101,012204,42101012204,122.04,Census Tract 122.04,G5020,S,849290,56473,+40.0009407,-075.2120769,"Census Tract 122.04, Philadelphia County, Pennsylvania",1400000US42101012204,604,599,3105,182,134,4067,52903,29828,2046,314,733,3248,344,272,11,24,53,83,76,58,80,63,110,116,163,227,42,101,012204
42,101,012203,42101012203,122.03,Census Tract 122.03,G5020,S,227711,0,+40.0074873,-075.2093404,"Census Tract 122.03, Philadelphia County, Pennsylvania",1400000US42101012203,95,95,41,245,1,409,41250,33274,727,52,141,371,0,0,0,0,16,2,0,0,23,9,0,0,0,0,42,101,012203
42,101,013602,42101013602,136.02,Census Tract 136.02,G5020,S,234728,0,+39.9715714,-075.1798096,"Census Tract 136.02, Philadelphia County, Pennsylvania",1400000US42101013602,2975,2869,220,261,118,3894,94129,52469,1893,176,1398,3100,290,342,21,107,12,8,34,0,8,10,75,10,44,20,42,101,013602
42,101,034502,42101034502,345.02,Census Tract 345.02,G5020,S,1021492,0,+40.0814120,-075.0384555,"Census Tract 345.02, Philadelphia County, Pennsylvania",1400000US42101034502,3650,2902,1095,395,895,5336,45662,26592,2609,311,902,3822,368,914,40,183,102,52,27,63,52,0,100,144,81,45,42,101,034502
42,101,000902,42101000902,9.02,Census Tract 9.02,G5020,S,155166,0,+39.9471596,-075.1566389,"Census Tract 9.02, Philadelphia County, Pennsylvania",1400000US42101000902,2145,2080,160,479,70,2893,59174,67772,1544,195,876,2201,90,85,48,29,57,81,33,30,20,21,96,8,92,83,42,101,000902
42,101,000804,42101000804,8.04,Census Tract 8.04,G5020,S,145453,0,+39.9485646,-075.1677563,"Census Tract 8.04, Philadelphia County, Pennsylvania",1400000US42101000804,3783,3592,118,596,234,4632,92281,98528,3638,68,1388,4092,97,57,35,92,139,83,36,109,93,120,156,50,85,108,42,101,000804
42,101,001202,42101001202,12.02,Census Tract 12.02,G5020,S,308561,0,+39.9459117,-075.1699475,"Census Tract 12.02, Philadelphia County, Pennsylvania",1400000US42101001202,4272,3940,295,430,387,5152,80696,82668,3104,100,1663,4181,250,250,89,64,61,71,48,41,72,77,113,52,98,16,42,101,001202
42,101,001201,42101001201,12.01,Census Tract 12.01,G5020,S,327555,30728,+39.9471666,-075.1798721,"Census Tract 12.01, Philadelphia County, Pennsylvania",1400000US42101001201,3265,3030,67,345,252,4080,107175,86970,2323,46,1289,3382,338,306,40,50,75,49,14,14,34,73,137,24,10,26,42,101,001201
42,101,002702,42101002702,27.02,Census Tract 27.02,G5020,S,367675,0,+39.9280114,-075.1495606,"Census Tract 27.02, Philadelphia County, Pennsylvania",1400000US42101002702,4041,3859,115,102,366,4590,66042,39782,2006,269,904,3700,419,304,29,16,37,39,27,15,48,56,74,88,23,62,42,101,002702
42,101,026301,42101026301,263.01,Census Tract 263.01,G5020,S,406340,0,+40.0728148,-075.1637161,"Census Tract 263.01, Philadelphia County, Pennsylvania",1400000US42101026301,46,46,3582,1,49,3733,38315,21411,1668,194,318,2689,419,241,87,46,83,62,17,0,170,164,141,23,51,31,42,101,026301
42,101,029200,42101029200,292,Census Tract 292,G5020,S,1732845,28349,+40.0249460,-075.1021543,"Census Tract 292, Philadelphia County, Pennsylvania",1400000US42101029200,850,507,2300,95,2028,5199,49272,17775,1478,761,223,3061,940,616,17,34,94,10,47,0,49,22,90,46,53,0,42,101,029200
42,101,024400,42101024400,244,Census Tract 244,G5020,S,421189,0,+40.0248284,-075.1638925,"Census Tract 244, Philadelphia County, Pennsylvania",1400000US42101024400,246,246,2923,0,377,3331,30284,16460,1302,418,295,2141,274,578,9,38,7,26,18,0,46,9,21,58,139,27,42,101,024400
42,101,033200,42101033200,332,Census Tract 332,G5020,S,828427,0,+40.0439412,-075.0448282,"Census Tract 332, Philadelphia County, Pennsylvania",1400000US42101033200,2106,1844,170,389,441,2837,66098,29949,1046,227,280,1947,389,374,41,41,21,24,14,32,42,5,22,52,22,19,42,101,033200
42,101,980200,42101980200,9802,Census Tract 9802,G5020,S,5158638,250846,+40.0731854,-075.0438055,"Census Tract 9802, Philadelphia County, Pennsylvania",1400000US42101980200,440,413,71,10,27,521,104375,22340,64,88,46,456,32,23,11,7,13,4,14,13,18,0,48,29,42,139,42,101,980200
42,101,000100,42101000100,1,Census Tract 1,G5020,S,704917,0,+39.9523827,-075.1466629,"Census Tract 1, Philadelphia County, Pennsylvania",1400000US42101000100,3373,3069,313,350,341,4166,102448,74171,2798,145,1574,3596,210,50,13,27,31,44,0,23,15,15,34,89,12,12,42,101,000100
42,101,000200,42101000200,2,Census Tract 2,G5020,S,382481,0,+39.9553999,-075.1569774,"Census Tract 2, Philadelphia County, Pennsylvania",1400000US42101000200,576,536,145,1546,140,2576,47243,38760,1191,410,498,2029,207,50,18,10,25,9,25,66,34,0,9,20,45,26,42,101,000200
42,101,000300,42101000300,3,Census Tract 3,G5020,S,546269,22680,+39.9569074,-075.1712767,"Census Tract 3, Philadelphia County, Pennsylvania",1400000US42101000300,2437,2200,221,546,237,3444,91354,74495,1983,99,991,2730,94,181,10,70,49,9,65,33,31,116,36,70,60,61,42,101,000300
42,101,036700,42101036700,367,Census Tract 367,G5020,S,801977,0,+39.9607248,-075.1439885,"Census Tract 367, Philadelphia County, Pennsylvania",1400000US42101036700,2775,2541,379,73,328,3341,103566,71335,1869,67,1288,2782,221,94,10,36,17,34,63,0,34,15,17,43,29,0,42,101,036700
42,101,037800,42101037800,378,Census Tract 378,G5020,S,3789733,1907950,+39.9805802,-075.0956845,"Census Tract 378, Philadelphia County, Pennsylvania",1400000US42101037800,2172,1969,243,13,219,2468,55089,35571,1176,325,444,1988,155,172,63,14,12,14,15,0,24,38,63,42,13,12,42,101,037800
42,101,037600,42101037600,376,Census Tract 376,G5020,S,717210,0,+39.9599006,-075.1551643,"Census Tract 376, Philadelphia County, Pennsylvania",1400000US42101037600,1441,1296,547,838,339,3109,62750,37958,1466,305,726,2569,53,157,7,53,51,10,0,0,24,45,20,0,38,0,42,101,037600
42,101,001001,42101001001,10.01,Census Tract 10.01,G5020,S,229397,0,+39.9456722,-075.1516020,"Census Tract 10.01, Philadelphia County, Pennsylvania",1400000US42101001001,2270,2226,63,114,44,2540,104250,95285,1604,0,853,2197,113,112,49,60,95,60,141,24,67,133,98,44,97,73,42,101,001001
42,101,000402,42101000402,4.02,Census Tract 4.02,G5020,S,303680,0,+39.9532973,-075.1686952,"Census Tract 4.02, Philadelphia County, Pennsylvania",1400000US42101000402,3281,3251,214,285,30,3880,78648,85680,3260,40,1127,3725,45,40,15,178,71,31,70,95,77,206,177,152,76,183,42,101,000402
42,101,036900,42101036900,369,Census Tract 369,G5020,S,1855494,193283,+39.9487238,-075.1937601,"Census Tract 369, Philadelphia County, Pennsylvania",1400000US42101036900,3531,3241,676,1273,350,5841,32500,12659,778,78,299,1016,82,71,4,4,20,18,4,4,9,10,20,4,26,46,42,101,036900
42,101,037300,42101037300,373,Census Tract 373,G5020,S,2587546,145214,+39.9024981,-075.1879361,"Census Tract 373, Philadelphia County, Pennsylvania",1400000US42101037300,5190,4770,362,207,510,5838,81003,48684,2598,320,1080,4467,490,534,46,259,117,101,15,83,49,258,230,29,107,155,42,101,037300
42,101,037200,42101037200,372,Census Tract 372,G5020,S,1027184,0,+39.9129542,-075.1599458,"Census Tract 372, Philadelphia County, Pennsylvania",1400000US42101037200,2960,2913,390,797,197,4427,57177,32447,1891,682,448,3552,346,310,150,62,36,52,83,24,74,105,147,54,140,109,42,101,037200
42,101,038400,42101038400,384,Census Tract 384,G5020,S,2590577,0,+40.0712029,-075.2331122,"Census Tract 384, Philadelphia County, Pennsylvania",1400000US42101038400,2224,2212,195,19,28,2493,81771,42762,1000,133,516,1902,217,270,40,22,84,47,11,42,35,74,65,65,38,52,42,101,038400
42,101,038600,42101038600,386,Census Tract 386,G5020,S,3310650,32072,+40.0582762,-075.2110913,"Census Tract 386, Philadelphia County, Pennsylvania",1400000US42101038600,1111,1076,138,60,56,1350,129417,90006,604,0,301,1076,110,137,26,24,79,23,7,0,41,76,65,6,7,17,42,101,038600
42,101,038500,42101038500,385,Census Tract 385,G5020,S,1336767,2576,+40.0753997,-075.2149467,"Census Tract 385, Philadelphia County, Pennsylvania",1400000US42101038500,1490,1469,141,94,23,1802,66731,68316,944,34,503,1437,149,128,35,37,75,22,23,6,44,54,95,30,50,43,42,101,038500
42,101,025500,42101025500,255,Census Tract 255,G5020,S,766603,0,+40.0625796,-075.1840640,"Census Tract 255, Philadelphia County, Pennsylvania",1400000US42101025500,946,866,1552,100,186,2822,63721,36574,1231,118,532,2131,248,242,32,27,55,48,39,53,8,9,60,95,13,108,42,101,025500
42,101,025600,42101025600,256,Census Tract 256,G5020,S,865285,1982,+40.0683411,-075.1883025,"Census Tract 256, Philadelphia County, Pennsylvania",1400000US42101025600,1477,1453,1035,8,80,2619,96488,55009,1235,195,466,2151,189,112,36,108,63,68,20,37,32,75,127,36,35,34,42,101,025600
42,101,025700,42101025700,257,Census Tract 257,G5020,S,746916,0,+40.0724585,-075.1962817,"Census Tract 257, Philadelphia County, Pennsylvania",1400000US42101025700,1759,1633,1437,304,410,3928,62386,40039,2017,185,743,2983,267,347,60,4,50,66,9,28,42,61,101,65,14,140,42,101,025700
42,101,025800,42101025800,258,Census Tract 258,G5020,S,586720,0,+40.0739801,-075.1823113,"Census Tract 258, Philadelphia County, Pennsylvania",1400000US42101025800,74,74,1655,19,0,1758,58828,27924,811,63,233,1293,131,192,33,33,37,43,0,31,20,69,114,19,24,18,42,101,025800
42,101,025900,42101025900,259,Census Tract 259,G5020,S,549417,0,+40.0799254,-075.1759762,"Census Tract 259, Philadelphia County, Pennsylvania",1400000US42101025900,77,57,4015,53,42,4282,45000,29312,2239,214,443,3127,474,284,33,59,113,0,32,0,122,70,129,52,69,64,42,101,025900
42,101,017602,42101017602,176.02,Census Tract 176.02,G5020,S,400460,0,+39.9967182,-075.1305528,"Census Tract 176.02, Philadelphia County, Pennsylvania",1400000US42101017602,2053,318,446,19,3594,4398,19717,8806,1448,1256,48,2315,982,703,25,19,39,23,10,0,12,39,51,37,12,0,42,101,017602
42,101,017800,42101017800,178,Census Tract 178,G5020,S,662615,0,+39.9913752,-075.1173040,"Census Tract 178, Philadelphia County, Pennsylvania",1400000US42101017800,2702,1424,1531,154,2429,5540,20438,10587,2515,1109,126,2984,901,1126,0,65,24,0,26,0,28,80,20,43,31,27,42,101,017800
42,101,017900,42101017900,179,Census Tract 179,G5020,S,714138,0,+39.9870535,-075.1139355,"Census Tract 179, Philadelphia County, Pennsylvania",1400000US42101017900,3188,2063,1955,19,2778,6834,34514,14518,2428,1009,273,3765,1355,880,53,47,0,18,21,36,0,141,0,47,0,87,42,101,017900
42,101,017701,42101017701,177.01,Census Tract 177.01,G5020,S,241053,0,+39.9964470,-075.1167526,"Census Tract 177.01, Philadelphia County, Pennsylvania",1400000US42101017701,1237,303,1193,10,1859,3438,20058,10644,1424,847,91,2025,591,516,0,7,16,0,16,15,15,26,23,0,11,0,42,101,017701
42,101,035601,42101035601,356.01,Census Tract 356.01,G5020,S,2029702,12503,+40.0976749,-075.0375069,"Census Tract 356.01, Philadelphia County, Pennsylvania",1400000US42101035601,4774,4627,205,763,165,5843,51212,32109,2536,607,1292,4445,476,661,31,65,92,119,167,159,137,73,184,243,312,268,42,101,035601
42,101,980400,42101980400,9804,Census Tract 9804,G5020,S,2954730,11766,+39.8800588,-075.2281211,"Census Tract 9804, Philadelphia County, Pennsylvania",1400000US42101980400,0,0,0,0,0,0,-666666666,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,101,980400
42,101,013402,42101013402,134.02,Census Tract 134.02,G5020,S,238612,0,+39.9653623,-075.1690326,"Census Tract 134.02, Philadelphia County, Pennsylvania",1400000US42101013402,2569,2287,188,133,342,3050,94000,65374,1707,56,1103,2631,100,178,30,32,35,91,6,1,26,39,27,23,7,0,42,101,013402
42,101,013601,42101013601,136.01,Census Tract 136.01,G5020,S,167669,0,+39.9689697,-075.1785782,"Census Tract 136.01, Philadelphia County, Pennsylvania",1400000US42101013601,2221,2182,136,239,49,2661,104643,72242,1547,27,669,2241,130,189,23,34,65,10,0,0,22,13,119,49,18,11,42,101,013601
42,101,008801,42101008801,88.01,Census Tract 88.01,G5020,S,184674,0,+39.9539319,-075.1984477,"Census Tract 88.01, Philadelphia County, Pennsylvania",1400000US42101008801,1363,1242,240,533,242,2424,30208,9725,269,10,52,248,19,6,0,0,0,0,0,0,0,0,0,0,0,0,42,101,008801
42,101,980500,42101980500,9805,Census Tract 9805,G5020,S,416088,0,+40.0175291,-075.1439067,"Census Tract 9805, Philadelphia County, Pennsylvania",1400000US42101980500,0,0,0,0,0,0,-666666666,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,101,980500
42,101,015200,42101015200,152,Census Tract 152,G5020,S,669100,0,+39.9854546,-075.1700491,"Census Tract 152, Philadelphia County, Pennsylvania",1400000US42101015200,164,98,4947,74,228,5215,25617,11865,2357,606,310,2634,922,1056,0,0,24,61,0,0,16,47,56,0,68,0,42,101,015200
42,101,018300,42101018300,183,Census Tract 183,G5020,S,1799343,124645,+39.9956035,-075.0746225,"Census Tract 183, Philadelphia County, Pennsylvania",1400000US42101018300,4090,4081,20,0,78,4175,69526,29952,1746,254,295,3079,495,324,57,20,44,27,29,1,63,54,83,52,47,40,42,101,018300
42,101,018400,42101018400,184,Census Tract 184,G5020,S,1320285,998924,+40.0033336,-075.0629819,"Census Tract 184, Philadelphia County, Pennsylvania",1400000US42101018400,2334,2201,2,0,133,2359,54000,24831,913,164,145,1645,399,235,17,14,15,26,13,20,0,23,14,9,37,30,42,101,018400
42,101,019000,42101019000,190,Census Tract 190,G5020,S,778607,6097,+40.0095015,-075.0986136,"Census Tract 190, Philadelphia County, Pennsylvania",1400000US42101019000,2679,1100,1620,248,5290,7772,35213,17985,2763,1067,443,4157,1295,1441,39,24,54,39,0,0,61,20,86,100,0,9,42,101,019000
42,101,019100,42101019100,191,Census Tract 191,G5020,S,1439045,10675,+40.0090421,-075.1072110,"Census Tract 191, Philadelphia County, Pennsylvania",1400000US42101019100,3495,942,1527,1174,5015,8280,38750,17209,2916,1644,483,5276,1318,1225,63,91,43,73,16,14,132,139,109,79,81,0,42,101,019100
42,101,019200,42101019200,192,Census Tract 192,G5020,S,656913,0,+40.0006393,-075.1150648,"Census Tract 192, Philadelphia County, Pennsylvania",1400000US42101019200,3815,1097,2021,225,5817,8729,27500,10767,2797,1424,38,4190,2146,1434,35,31,24,35,16,15,15,133,100,39,16,0,42,101,019200
42,101,019700,42101019700,197,Census Tract 197,G5020,S,450587,0,+40.0162799,-075.1379372,"Census Tract 197, Philadelphia County, Pennsylvania",1400000US42101019700,1482,204,3468,5,3713,7034,19111,13489,2376,1489,184,4013,1104,1194,26,58,8,68,0,0,88,98,198,91,32,0,42,101,019700
42,101,019800,42101019800,198,Census Tract 198,G5020,S,540315,0,+40.0107190,-075.1421410,"Census Tract 198, Philadelphia County, Pennsylvania",1400000US42101019800,1228,172,2522,219,4136,6561,25434,13624,2265,1251,113,3454,1148,1012,60,41,65,42,35,8,101,61,44,95,19,29,42,101,019800
42,101,019900,42101019900,199,Census Tract 199,G5020,S,661885,0,+40.0048515,-075.1435463,"Census Tract 199, Philadelphia County, Pennsylvania",1400000US42101019900,1503,136,1575,0,2945,4423,18005,8153,1747,933,105,2367,699,769,0,54,10,19,2,40,50,15,65,29,18,69,42,101,019900
42,101,020000,42101020000,200,Census Tract 200,G5020,S,316769,0,+40.0025312,-075.1508996,"Census Tract 200, Philadelphia County, Pennsylvania",1400000US42101020000,101,90,1099,16,215,1396,22568,10906,770,249,99,838,264,76,18,30,0,0,7,0,0,9,11,0,18,7,42,101,020000
42,101,020200,42101020200,202,Census Tract 202,G5020,S,756814,0,+40.0081282,-075.1621609,"Census Tract 202, Philadelphia County, Pennsylvania",1400000US42101020200,267,246,4084,8,223,4523,18439,13204,2570,572,136,3029,692,433,33,27,5,61,56,127,0,52,91,8,44,54,42,101,020200
42,101,020300,42101020300,203,Census Tract 203,G5020,S,508186,0,+40.0125819,-075.1495922,"Census Tract 203, Philadelphia County, Pennsylvania",1400000US42101020300,90,85,2445,10,363,2961,24612,13855,1370,381,74,1793,449,412,9,24,79,11,71,9,18,56,30,10,36,35,42,101,020300
42,101,020400,42101020400,204,Census Tract 204,G5020,S,407373,0,+40.0198216,-075.1525117,"Census Tract 204, Philadelphia County, Pennsylvania",1400000US42101020400,51,51,2767,0,173,2938,25875,14869,1416,350,112,1944,522,191,64,35,44,0,18,0,34,0,66,65,42,82,42,101,020400
42,101,020500,42101020500,205,Census Tract 205,G5020,S,1429508,0,+40.0158738,-075.1643607,"Census Tract 205, Philadelphia County, Pennsylvania",1400000US42101020500,103,103,2393,149,36,2793,17929,14377,1538,361,29,2145,262,169,24,23,112,30,0,24,39,45,85,86,21,91,42,101,020500
42,101,020600,42101020600,206,Census Tract 206,G5020,S,1295909,56782,+40.0197999,-075.1827740,"Census Tract 206, Philadelphia County, Pennsylvania",1400000US42101020600,888,794,463,116,172,1588,47292,39217,957,117,232,1101,106,121,16,22,15,8,12,8,41,29,41,22,26,50,42,101,020600
42,101,020700,42101020700,207,Census Tract 207,G5020,S,1424663,94030,+40.0126929,-075.1944867,"Census Tract 207, Philadelphia County, Pennsylvania",1400000US42101020700,4097,3963,782,397,204,5677,81653,43402,2580,170,1466,4055,530,279,17,0,83,35,0,38,37,66,82,138,14,87,42,101,020700
42,101,020800,42101020800,208,Census Tract 208,G5020,S,895387,0,+40.0213962,-075.1935432,"Census Tract 208, Philadelphia County, Pennsylvania",1400000US42101020800,997,949,922,278,96,2250,53409,42859,1374,139,581,1614,69,69,4,18,37,56,12,8,0,28,57,22,81,59,42,101,020800
42,101,020900,42101020900,209,Census Tract 209,G5020,S,521766,35427,+40.0186576,-075.2089795,"Census Tract 209, Philadelphia County, Pennsylvania",1400000US42101020900,2328,2261,261,51,116,2755,67177,48159,1400,65,746,2062,125,214,22,14,23,13,0,8,11,22,25,25,38,43,42,101,020900
42,101,021000,42101021000,210,Census Tract 210,G5020,S,858216,55718,+40.0244730,-075.2151045,"Census Tract 210, Philadelphia County, Pennsylvania",1400000US42101021000,4816,4662,413,28,192,5394,71667,39184,2501,277,1639,4133,254,257,43,30,183,26,26,103,47,57,123,0,0,58,42,101,021000
42,101,021100,42101021100,211,Census Tract 211,G5020,S,554014,0,+40.0263850,-075.2064504,"Census Tract 211, Philadelphia County, Pennsylvania",1400000US42101021100,2114,2014,231,56,135,2526,64479,39570,1233,137,667,1942,120,214,45,6,19,33,21,32,18,17,66,19,8,79,42,101,021100
42,101,021200,42101021200,212,Census Tract 212,G5020,S,515705,0,+40.0348390,-075.2125337,"Census Tract 212, Philadelphia County, Pennsylvania",1400000US42101021200,1806,1721,417,166,185,2512,66058,35755,1129,86,472,1774,291,181,12,68,24,0,0,0,11,17,71,10,0,52,42,101,021200
42,101,021400,42101021400,214,Census Tract 214,G5020,S,606691,55277,+40.0279290,-075.2240827,"Census Tract 214, Philadelphia County, Pennsylvania",1400000US42101021400,3456,3218,449,47,270,4090,74677,37924,1939,166,1060,2987,171,134,28,28,26,0,17,1,10,26,45,19,18,23,42,101,021400
42,101,021500,42101021500,215,Census Tract 215,G5020,S,1004126,24008,+40.0354678,-075.2311685,"Census Tract 215, Philadelphia County, Pennsylvania",1400000US42101021500,3559,3484,170,79,159,4020,74087,39541,1892,206,826,2858,175,432,26,52,33,10,0,25,31,86,43,28,0,29,42,101,021500
42,101,015600,42101015600,156,Census Tract 156,G5020,S,429566,0,+39.9790066,-075.1418910,"Census Tract 156, Philadelphia County, Pennsylvania",1400000US42101015600,585,179,353,55,1167,1637,23375,14701,677,363,128,1113,243,187,0,34,5,22,15,0,4,20,13,30,14,0,42,101,015600
42,101,015700,42101015700,157,Census Tract 157,G5020,S,485072,0,+39.9780454,-075.1355249,"Census Tract 157, Philadelphia County, Pennsylvania",1400000US42101015700,1536,1175,335,31,1129,2769,40432,20399,1211,416,434,1782,219,282,0,33,9,29,11,10,13,34,44,2,0,2,42,101,015700
42,101,015800,42101015800,158,Census Tract 158,G5020,S,580218,0,+39.9735773,-075.1294327,"Census Tract 158, Philadelphia County, Pennsylvania",1400000US42101015800,6188,5925,159,152,359,6614,74261,40919,3023,437,1584,5413,377,510,15,29,61,42,30,29,32,53,74,105,39,59,42,101,015800
42,101,016000,42101016000,160,Census Tract 160,G5020,S,721031,0,+39.9793810,-075.1231908,"Census Tract 160, Philadelphia County, Pennsylvania",1400000US42101016000,6005,5824,265,330,568,6941,60926,32240,3223,712,1583,5524,546,509,52,18,61,31,34,23,82,35,99,104,26,56,42,101,016000
42,101,016100,42101016100,161,Census Tract 161,G5020,S,707751,0,+39.9844577,-075.1275250,"Census Tract 161, Philadelphia County, Pennsylvania",1400000US42101016100,3657,3169,298,791,1441,5795,69263,31939,2446,1005,974,4277,606,545,52,58,24,52,30,17,0,92,0,0,48,0,42,101,016100
42,101,016200,42101016200,162,Census Tract 162,G5020,S,364983,0,+39.9840197,-075.1384217,"Census Tract 162, Philadelphia County, Pennsylvania",1400000US42101016200,854,138,598,119,1672,2368,25256,14858,947,575,212,1618,339,205,0,60,39,23,0,12,0,45,24,13,19,17,42,101,016200
42,101,016300,42101016300,163,Census Tract 163,G5020,S,572226,0,+39.9885061,-075.1339156,"Census Tract 163, Philadelphia County, Pennsylvania",1400000US42101016300,1559,170,494,243,2667,3486,18569,10093,1273,969,66,2004,539,456,16,30,88,0,0,0,36,27,34,0,50,0,42,101,016300
42,101,016400,42101016400,164,Census Tract 164,G5020,S,485081,0,+39.9896435,-075.1431669,"Census Tract 164, Philadelphia County, Pennsylvania",1400000US42101016400,1268,139,2206,0,2395,4577,17757,14428,1813,1099,205,3223,571,330,0,0,91,25,0,0,18,45,90,62,62,34,42,101,016400
42,101,016500,42101016500,165,Census Tract 165,G5020,S,394659,0,+39.9890552,-075.1491727,"Census Tract 165, Philadelphia County, Pennsylvania",1400000US42101016500,287,10,2558,106,550,3164,12839,10341,1269,631,68,1788,745,425,0,8,0,0,19,37,47,6,31,19,6,105,42,101,016500
42,101,016600,42101016600,166,Census Tract 166,G5020,S,261133,0,+39.9890491,-075.1536062,"Census Tract 166, Philadelphia County, Pennsylvania",1400000US42101016600,358,254,1150,12,201,1644,15875,15541,754,223,39,1125,8,131,14,23,0,0,0,0,5,32,8,15,0,5,42,101,016600
42,101,016901,42101016901,169.01,Census Tract 169.01,G5020,S,512906,0,+39.9930523,-075.1758394,"Census Tract 169.01, Philadelphia County, Pennsylvania",1400000US42101016901,35,5,2788,0,30,2823,21042,16080,1750,253,274,2001,118,265,32,13,16,45,0,0,44,0,68,24,44,14,42,101,016901
